trial,auc,ks,composite,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample,xgb_min_child_weight,xgb_gamma,xgb_lambda,xgb_alpha,lr_c,w_xgb
59,0.7661715247947216,0.4027370122807475,0.5844542685377345,3,0.03172843445141445,0.755402751876225,0.705491955728373,12,4.246686758518619,0.5044083504710498,0.04007786234859476,0.10665183508918696,0.5883371940646999
60,0.7679313507619887,0.40215227574672047,0.5850418132543546,5,0.026575657875666528,0.6483713551516408,0.9334297894521276,8,3.859777417143498,0.7788546468974925,0.0013280096790094869,0.850911355870589,0.8501071903011139
61,0.7690994712267322,0.4058407860105862,0.5874701286186592,4,0.03428589448151448,0.7022409987212713,0.7465361724638608,13,3.3994677724793423,9.21108954586879,0.00725357591092643,0.16947345337755026,0.7566506373161108
62,0.7621762908566911,0.39321740131395116,0.5776968460853211,9,0.04832095281995923,0.6980128570052196,0.7442342132191287,13,3.0565411838061696,7.385324753892286,0.003566331168556664,0.28333341589115424,0.921198252417921
63,0.7677933072965544,0.4013875260807523,0.5845904166886533,4,0.040176464358545876,0.6874124095727714,0.7176920613520859,13,3.4296821656076464,9.162014016252005,0.007401295314314798,0.14956676498379612,0.840285084964281
64,0.7672438553402449,0.39931684070162593,0.5832803480209354,4,0.07107808754171929,0.7082623027982714,0.6509226725731985,14,2.787193947776586,5.7821786473037085,0.003887410980850771,0.06433673490364261,0.7664545089669589
65,0.7685568991786191,0.40560519925127003,0.5870810492149445,5,0.03498858708643162,0.6118467933717567,0.7699236001568506,15,3.1572505226465597,9.607484239123306,0.002131736781929915,0.1696924069996386,0.7788699758799488
66,0.7669616789113447,0.4010475606495079,0.5840046197804263,5,0.05652466887026737,0.6113582224290375,0.7715710153470267,16,3.1106737538440923,9.302943722083443,0.002201208079349531,0.1445850783090306,0.76377884358614
67,0.7668290291603462,0.40012922649570654,0.5834791278280264,3,0.034400723256049835,0.9494807549903441,0.6882480365338919,15,2.848670011617561,4.9278064397660994,0.0014030631024318158,0.030511300118364434,0.8952553313133814
68,0.7667847828899131,0.40067669129406625,0.5837307370919897,5,0.08879251214333811,0.6069818159898523,0.9675892515593099,17,3.7676381729169814,2.8541137246630535,0.006413575311951769,0.5567961693779447,0.7071080265944298
69,0.7609855991720953,0.38894222858706506,0.5749639138795801,10,0.024111647588520566,0.6275803565826081,0.7836152199231962,13,3.514925797490649,7.086163649277336,0.012451838109709939,0.286121859098484,0.9575099962576292
70,0.7650800685497131,0.3989690936266445,0.5820245810881788,8,0.018475259537844162,0.6335476949528697,0.8050880909247285,11,4.417253061001235,0.0023064932561263824,0.0729496928658591,0.04309132392298454,0.6831219784351791
71,0.7696879371608333,0.40385586570062965,0.5867719014307314,4,0.03616980352248314,0.6742521840443514,0.7557096206588244,15,3.3608877362512795,9.898229235594888,0.0016038921247710583,1.3824006478728992,0.8004546492489549
72,0.7676629786796322,0.4024208482147529,0.5850419134471925,4,0.03947577297537835,0.6748774588687304,0.7544002407958796,14,2.558398072420195,4.450568491589413,0.004463330740920697,1.2844701694064133,0.842467586530609
73,0.7675437380700945,0.40307042064738374,0.5853070793587392,4,0.030853588929824566,0.6639679582755574,0.7243430283111266,15,3.3829098398153024,7.10545385778777,0.0016591748570623764,2.191115757928537,0.7318065306151829
74,0.7691307703560119,0.40537649240015067,0.5872536313780813,4,0.03707777149453172,0.7100964443979817,0.7376090027622985,17,3.2013520663752484,9.629929959272891,0.0028671135441663085,0.18365835134295438,0.78857524723737
75,0.7673749966324075,0.40346893209352486,0.5854219643629661,4,0.0460813965000321,0.6482078929669352,0.7480883919440655,17,3.2060624500782504,9.428787481859894,0.002807962172363492,0.9445065533995725,0.9812041616514044
76,0.7672903114193784,0.40049392842535375,0.5838921199223661,3,0.03262699186849039,0.6781189325040526,0.7724678014807979,18,3.9056697458912235,5.6659078867170996,0.00193374125384303,0.424612314665366,0.8959850413448021
77,0.768402379557633,0.4020621133252244,0.5852322464414287,4,0.028643453650728984,0.6976323381947507,0.7379586396173471,15,2.9353785567008144,4.004164042488929,0.0011905956333795615,2.8880537985438024,0.8024265239447737
78,0.7677234172259096,0.40256273240563667,0.5851430748157731,3,0.036701677903126964,0.7135829631352618,0.7027914184063467,16,3.5215342015084126,9.927501145776564,0.007461650274693778,0.585786133391325,0.7800944440355602
79,0.7677570653206093,0.4043814216651204,0.5860692434928648,4,0.04204139791674589,0.7286453990102644,0.603649894229542,12,3.1495877020319076,2.68921655822055,0.0016918457839932423,0.15530718313008407,0.6355038467182994
80,0.7659564942659639,0.4002514728903785,0.5831039835781712,5,0.09869431084198546,0.6000015520495895,0.7586751515304482,13,2.616607455940409,6.971337555704208,0.0023891081639186274,1.322975075200523,0.8376102878520789
81,0.7681476058698753,0.40223302004146205,0.5851903129556687,4,0.03649785044343575,0.8747406878230635,0.789480862877519,14,3.292405233691095,6.055723608329599,0.0010533600836502076,6.407050191063464,0.8661599248623402
82,0.7680743704717012,0.4026061270369482,0.5853402487543247,4,0.02920221948277524,0.7389514908453184,0.7399622974733322,16,3.7530433839582997,4.85245773872187,0.0047528845744644055,0.07636759116211826,0.7345676455237243
83,0.76692042172724,0.40011712542740596,0.583518773577323,5,0.05803136287729763,0.6882068079355651,0.7137077702070176,20,3.627511385438641,3.228890696754611,0.003768387561782866,2.549527917248619,0.7005625753550204
84,0.7680058330043669,0.4041752136723592,0.5860905233383631,4,0.025550146076983804,0.7078557758798871,0.7261645285084807,17,2.9034185216309836,8.056725186876728,0.010253206242794544,0.6551970627660364,0.7528225918668161
